PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,62.5,25.625,-10.41,-9.26,-7.63,2.23,12.65,14.03,15.88,14.05,8.54,4.25,-3.59,-9.15,2.63
TS,1984,62.5,26.25,-10.58,-9.72,-7.63,2.7,13.15,14.69,16.43,14.56,8.96,4.41,-3.94,-9.64,2.78
TS,1984,62.5,26.875,-10.81,-10.1,-7.59,2.92,13.46,15.13,16.83,14.87,9.21,4.47,-4.33,-10.16,2.83
TS,1984,62.5,27.5,-11.03,-10.44,-7.48,3.08,13.58,15.35,17.06,15,9.29,4.49,-4.62,-10.57,2.81
TS,1984,62.5,28.125,-11.11,-10.72,-7.4,3.2,13.77,15.57,17.29,15.18,9.37,4.47,-5,-11.02,2.8
TS,1984,62.5,28.75,-11.18,-10.95,-7.38,3.45,14.14,15.99,17.67,15.5,9.56,4.45,-5.51,-11.54,2.85
TS,1984,62.5,29.375,-11.15,-11.13,-7.31,3.55,14.27,16.14,17.86,15.55,9.59,4.39,-5.81,-11.9,2.84
TS,1984,63,21.875,-7.49,-5.21,-6.37,2.68,10.83,12.77,14.74,14.06,8.82,5.12,0.2,-4.02,3.84
TS,1984,63,22.5,-8.51,-5.84,-6.65,2.49,11.21,12.91,14.85,13.84,8.64,4.85,-0.66,-5.31,3.48
TS,1984,63,23.125,-9.95,-6.89,-7.36,2.39,12.02,13.31,15.13,13.6,8.37,4.43,-1.87,-6.97,3.02
TS,1984,63,23.75,-10.41,-7.66,-7.69,2.01,12.1,13.33,15.17,13.43,8.2,4.14,-2.67,-7.74,2.68
TS,1984,63,24.375,-10.63,-8.23,-7.79,1.71,11.92,13.22,15.06,13.26,8.04,3.87,-3.27,-8.14,2.42
TS,1984,63,25,-10.96,-8.79,-7.89,2.02,12.28,13.75,15.51,13.67,8.27,3.86,-3.83,-8.76,2.43
